,videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt
19,7oKc5BuZtYU,Simples... foi assaltado? Processa a prefeitura,Simples... foi assaltado? Processa a prefeitura,Ricardo Nicello,https://yt3.ggpht.com/a/AATXAJwteW9-EMHEC7AER1Ppt5oljFzUi2R82or1Ew=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCWcH_rZa3f2hZfQOklFWM1A,{'value': 'UCWcH_rZa3f2hZfQOklFWM1A'},True,none,0,2019-09-01T10:49:50Z,2019-09-01T10:49:50Z
20,7oKc5BuZtYU,"Guerreiros, o sistema político, irá atacar no  Calcanhar de Aquiles, dos motoristas de aplicativo: a segurança. Regulamentações, que simplesmente, transformam uma fonte de  renda em uma missão suicida. E lamentavelmente, outros, prefeitos, entrarão na onda.<br />Está inviável trabalhar, com App.<br />Um grande abraço a todos!<br />Na Paz do Mestre+","Guerreiros, o sistema político, irá atacar no  Calcanhar de Aquiles, dos motoristas de aplicativo: a segurança. Regulamentações, que simplesmente, transformam uma fonte de  renda em uma missão suicida. E lamentavelmente, outros, prefeitos, entrarão na onda.
Está inviável trabalhar, com App.
Um grande abraço a todos!
Na Paz do Mestre+",Luis Claudio,https://yt3.ggpht.com/a/AATXAJwh50G_9XcKQLJZRjbnOP6BqjVa4SwnR_rEbLXkFg=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCcQ1cCA5hpdKefz0CVERgoA,{'value': 'UCcQ1cCA5hpdKefz0CVERgoA'},True,none,1,2019-09-01T10:37:23Z,2019-09-01T10:37:23Z
21,7oKc5BuZtYU,O STF já não tinha resolvido estas questões sobre prefeituras legislando sobre os aplicativos? O STF não tinha proibido as prefeituras de cagar regras?,O STF já não tinha resolvido estas questões sobre prefeituras legislando sobre os aplicativos? O STF não tinha proibido as prefeituras de cagar regras?,codinome22,https://yt3.ggpht.com/a/AATXAJyXJFHg_MEsh6ZYxtr7q8O43VdV-v8HxFTqgK4E=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCmEZw96YjyIo5j_R71DhFsQ,{'value': 'UCmEZw96YjyIo5j_R71DhFsQ'},True,none,0,2019-09-01T10:34:10Z,2019-09-01T10:34:10Z
22,7oKc5BuZtYU,"Põe o Crivella pra dirigir sem saber o destino, pilantra...","Põe o Crivella pra dirigir sem saber o destino, pilantra...",joão paulo silva,https://yt3.ggpht.com/a/AATXAJxmInsDGuvTe9uyr2JsJrHwUCY8JwblsJF1Zw=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCxeur2rUoqkrhCWo_r4En0Q,{'value': 'UCxeur2rUoqkrhCWo_r4En0Q'},True,none,0,2019-09-01T07:51:30Z,2019-09-01T07:51:30Z
23,7oKc5BuZtYU,E murro em ponta de faca.,E murro em ponta de faca.,Ivan Passos,https://yt3.ggpht.com/a/AATXAJy1FQHrlRx1reLOVKgodhBlEsOy0awpxEpWEA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC6rj2MCx08N5yaLK058sgLg,{'value': 'UC6rj2MCx08N5yaLK058sgLg'},True,none,1,2019-09-01T07:01:26Z,2019-09-01T07:01:26Z
24,7oKc5BuZtYU,Bom dia Tiago. Sou aqui do Rio e concordo plenamente com o que vc falou. Esse cara é um bosta. Sevw wstar puto poia o mandato dele wsta sendo caçado. Ai esta querenso mostrar serviço. Mais que mersa de serviço. Meu Deua o de vamos parar. Vlw Tiago,Bom dia Tiago. Sou aqui do Rio e concordo plenamente com o que vc falou. Esse cara é um bosta. Sevw wstar puto poia o mandato dele wsta sendo caçado. Ai esta querenso mostrar serviço. Mais que mersa de serviço. Meu Deua o de vamos parar. Vlw Tiago,wagner gomes,https://yt3.ggpht.com/a/AATXAJwFZAMaAJTRwkpgbgfB7ydYlECzIrIgkC6yxXhDYA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCZ-y1Q-HUTUI2e0gP-JdcQg,{'value': 'UCZ-y1Q-HUTUI2e0gP-JdcQg'},True,none,0,2019-09-01T05:28:16Z,2019-09-01T05:28:16Z
25,7oKc5BuZtYU,Isso vai valer pra todo Brasil ? Ou só pro RJ ?<br />Isso aí é uma loucura.,"Isso vai valer pra todo Brasil ? Ou só pro RJ ?
Isso aí é uma loucura.",R C,https://yt3.ggpht.com/a/AATXAJyo1l2TQ5MR0ho6rNMoAh_ytPsxIByWodiz7RdZ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UColz15hcxcKmh9Psw_IXPQg,{'value': 'UColz15hcxcKmh9Psw_IXPQg'},True,none,0,2019-09-01T04:29:39Z,2019-09-01T04:29:39Z
26,7oKc5BuZtYU,Politicos aqui no brasil São Contra o povo que por sua vez sao tds burros quem paga esses lixos somos nos tds mas eles que fazem oque querem ou oque e bom para eles,Politicos aqui no brasil São Contra o povo que por sua vez sao tds burros quem paga esses lixos somos nos tds mas eles que fazem oque querem ou oque e bom para eles,uber do veio sao paulo sp,https://yt3.ggpht.com/a/AATXAJy6yttnpohQzDCzOcv4xvWe1HFr2GdRKbY0ygHuzA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC-NZK9fk9U5JPX4iDeZJkFg,{'value': 'UC-NZK9fk9U5JPX4iDeZJkFg'},True,none,0,2019-08-31T23:45:45Z,2019-08-31T23:45:45Z
27,7oKc5BuZtYU,Prefeitura no RJ é uma bosta! As ruas e estradas estão uma porcaria e não vemos melhorias.,Prefeitura no RJ é uma bosta! As ruas e estradas estão uma porcaria e não vemos melhorias.,Fábio Trannin,https://yt3.ggpht.com/a/AATXAJxoSA9pNovbyx6kllX_9NNlUo_NwHKk1zxuj6P0fQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC-207aANmQKdrgf3-2HuvAg,{'value': 'UC-207aANmQKdrgf3-2HuvAg'},True,none,0,2019-08-31T21:20:44Z,2019-08-31T21:20:44Z
28,7oKc5BuZtYU,"Amigo Thiago, aqui em BH está mostrando a região pra onde é a corrida, está até melhor de trabalhar! Nas cidades da região metropolitana tá sendo possível ver até o nome do bairro.","Amigo Thiago, aqui em BH está mostrando a região pra onde é a corrida, está até melhor de trabalhar! Nas cidades da região metropolitana tá sendo possível ver até o nome do bairro.",Maurício Almeida,https://yt3.ggpht.com/a/AATXAJyEnCeMKIX1BA0IFJcQftZHbWXCc9GIBJ047voE9Q=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCZSKy4h0gHMLhbW5ucyvEdw,{'value': 'UCZSKy4h0gHMLhbW5ucyvEdw'},True,none,0,2019-08-31T20:41:39Z,2019-08-31T20:41:39Z
29,7oKc5BuZtYU,"Ele fez isso pq o Crivella e sócio do táxi Rio, e acha que isso vai desmantelar os apps.","Ele fez isso pq o Crivella e sócio do táxi Rio, e acha que isso vai desmantelar os apps.",Junior Silva,https://yt3.ggpht.com/a/AATXAJyTG1dqpLGrVMo7s2u5x1nL8wFsgeZDSvt3fbFrMA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCZi52bMiLCzUZM0AUBiax9A,{'value': 'UCZi52bMiLCzUZM0AUBiax9A'},True,none,0,2019-08-31T20:21:57Z,2019-08-31T20:22:13Z
30,7oKc5BuZtYU,Realmente um absurdo esse Marcelo Crivella só Deus mesmo viu ele faz isso porque ele não anda de Uber ele anda de carro particular anda com a gasolina do povo quem banca o custo é a população quando vai para algum lugar feio é perigoso porque que ele leva segurança então ?,Realmente um absurdo esse Marcelo Crivella só Deus mesmo viu ele faz isso porque ele não anda de Uber ele anda de carro particular anda com a gasolina do povo quem banca o custo é a população quando vai para algum lugar feio é perigoso porque que ele leva segurança então ?,Ednaldo Jose Dos Santos,https://yt3.ggpht.com/a/AATXAJw507XsjrtGZWg1J2-qiElOHRVuq0Xd4eVZQA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCpaqWIcG1Z0rSteg0lMPIaQ,{'value': 'UCpaqWIcG1Z0rSteg0lMPIaQ'},True,none,0,2019-08-31T20:14:42Z,2019-08-31T20:14:42Z
31,7oKc5BuZtYU,"Quanto será que a prefeitura do Rio vai embolsar nessa, com certeza tem tem dindin aí, porra Thiago mais o Cabral não está preso kkk","Quanto será que a prefeitura do Rio vai embolsar nessa, com certeza tem tem dindin aí, porra Thiago mais o Cabral não está preso kkk",Bira Oliveira,https://yt3.ggpht.com/a/AATXAJxdfRQrEbTBJESsJqSCDKB06H3mo9oOZWXWmg=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCZteeyouH0Y_tK9TPEh9XMQ,{'value': 'UCZteeyouH0Y_tK9TPEh9XMQ'},True,none,0,2019-08-31T19:29:45Z,2019-08-31T19:29:45Z
32,7oKc5BuZtYU,"Lucros magros, a ponto de mal vc pagar uma conta. Custos altos com combustível, manutenção ou aluguel de carro. Vários absurdos que temos que suportar...<br />Vc trabalha muito pra ter algum ganho que não é tão diferente de um salário baixo aí em qualquer empresa, perde seu tempo de lazer, com a família... <br />Vc fica tão ocupado nisso que esquece de ganhar dinheiro. Parece absurdo dizer isso mas é verdade.<br />Vc trabalha tanto que não consegue ter ânimo e tempo pra pensar em outras opções. <br /><br />A pergunta que vc deve fazer é: quanto está valendo uma hora da minha vida!<br />Considere cada hora de vida que vc está trocando por dinheiro, ou seja, cada hora de vida que vc está trabalhando. Se está trabalhando 12, 14 hrs pra ganhar 50 a 80 limpo no dia, vc está vendendo sua vida a um preço muito baixo.","Lucros magros, a ponto de mal vc pagar uma conta. Custos altos com combustível, manutenção ou aluguel de carro. Vários absurdos que temos que suportar...
Vc trabalha muito pra ter algum ganho que não é tão diferente de um salário baixo aí em qualquer empresa, perde seu tempo de lazer, com a família... 
Vc fica tão ocupado nisso que esquece de ganhar dinheiro. Parece absurdo dizer isso mas é verdade.
Vc trabalha tanto que não consegue ter ânimo e tempo pra pensar em outras opções. 

A pergunta que vc deve fazer é: quanto está valendo uma hora da minha vida!
Considere cada hora de vida que vc está trocando por dinheiro, ou seja, cada hora de vida que vc está trabalhando. Se está trabalhando 12, 14 hrs pra ganhar 50 a 80 limpo no dia, vc está vendendo sua vida a um preço muito baixo.",Ricardo,https://yt3.ggpht.com/a/AATXAJybOqnCvyF08yu9dAZQLBUiX1ZrD3xk30ERNmK_skA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCw08R94hnGTVQUTcYog3CAA,{'value': 'UCw08R94hnGTVQUTcYog3CAA'},True,none,2,2019-08-31T19:24:07Z,2019-08-31T19:24:07Z
33,7oKc5BuZtYU,"Valeu Thiago pela moral aqui para o Rio de Janeiro. Para ajudar com mais informações, acontece que grande parte dos legisladores municipais são donos de grandes cooperativas de táxi e os aplicativos simplesmente reduziram a margem de lucro deles.","Valeu Thiago pela moral aqui para o Rio de Janeiro. Para ajudar com mais informações, acontece que grande parte dos legisladores municipais são donos de grandes cooperativas de táxi e os aplicativos simplesmente reduziram a margem de lucro deles.",Marcelo Pulcherio,https://yt3.ggpht.com/a/AATXAJwAN6VnrInSH9-C2_rfbsjqOsPWLWo-9nnFrw=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC2AXivNadN4PFeP9xh98rZw,{'value': 'UC2AXivNadN4PFeP9xh98rZw'},True,none,1,2019-08-31T19:23:30Z,2019-08-31T19:23:30Z
34,7oKc5BuZtYU,É aquele negócio: não há nada tão simples que políticos não consigam complicar,É aquele negócio: não há nada tão simples que políticos não consigam complicar,Ricardo,https://yt3.ggpht.com/a/AATXAJybOqnCvyF08yu9dAZQLBUiX1ZrD3xk30ERNmK_skA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCw08R94hnGTVQUTcYog3CAA,{'value': 'UCw08R94hnGTVQUTcYog3CAA'},True,none,1,2019-08-31T19:13:11Z,2019-08-31T19:25:30Z
35,7oKc5BuZtYU,O que vai acontecer: o motorista vai iniciar a corrida e vai ver o destino e vai dizer q nao vai fazer a corrida pq é perigoso como antes. É osso demais!,O que vai acontecer: o motorista vai iniciar a corrida e vai ver o destino e vai dizer q nao vai fazer a corrida pq é perigoso como antes. É osso demais!,Ruy Morais,https://yt3.ggpht.com/a/AATXAJzm4gGFjjHsc_Z4Tdlq9mtsvP7J-3C6FbdRE6TF=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCqFq2FHn-HqzPY6ZFkmeUzw,{'value': 'UCqFq2FHn-HqzPY6ZFkmeUzw'},True,none,0,2019-08-31T19:03:10Z,2019-08-31T19:03:10Z
36,7oKc5BuZtYU,FALOU  TUDO  THIAGAO,FALOU  TUDO  THIAGAO,Ricardo Silva,https://yt3.ggpht.com/a/AATXAJzHFziBDBRObZuRL-hVcsLkaoj9yFveW1oj9AQ7Eg=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCroOsWLGah3I8_zuvqNG9HQ,{'value': 'UCroOsWLGah3I8_zuvqNG9HQ'},True,none,0,2019-08-31T18:54:17Z,2019-08-31T18:54:17Z
